CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Other Invertebrates,Encrusting sponge,,,,LCE,147,,,ES,Encrusting sponge,Encrusting sponge,Encrusting sponge,https://coralnet.ucsd.edu/label/147/
Other Invertebrates,Encrusting sponge,encrusting sponge orange,,,LC,11586,,,ESO,Encrusting sponge orange,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11586/
Other Invertebrates,Encrusting sponge,encrusting sponge orange,,Scopalina lophiropoda,LC,11587,,,ESO_Sco,Scopalina lophiropoda,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11587/
Other Invertebrates,Encrusting sponge,encrusting sponge orange,,Haliclona fulva,LC,11588,,,ESO_Hal,Haliclona fulva,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11588/
Other Invertebrates,Encrusting sponge,,,Haliclona mucosa,LCE,3671,,,ES_Hal,Haliclona mucosa,Haliclona mucosa,Encrusting sponge,https://coralnet.ucsd.edu/label/3671/
Other Invertebrates,Encrusting sponge,,,Hemimycale columella,LCE,3673,,,ES_Hem,Hemimycale columella,Hemimycale columella,Encrusting sponge,https://coralnet.ucsd.edu/label/3673/
Other Invertebrates,Encrusting sponge,,,Hexadella racovitzai,LCE,8148,,,ES_Hex,Hexadella racovitzai,Hexadella racovitzai,Encrusting sponge,https://coralnet.ucsd.edu/label/8148/
Other Invertebrates,Encrusting sponge,,Phorbas sp red,,LC,11589,,,ES_Pho_red,Phorbas sp. red,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11589/
Other Invertebrates,Encrusting sponge,,,Phorbas tenacior,LCE,1728,,,ES_Pho_ten,Phorbas tenacior,Phorbas tenacior,Encrusting sponge,https://coralnet.ucsd.edu/label/1728/
Other Invertebrates,Encrusting sponge,,Plakina sp,,LC,11590,,,ES_Pla,Plakina sp.,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11590/
Other Invertebrates,Encrusting sponge,,,Pleraplysilla spinifera,LCE,7156,,,ES_Ple,Pleraplysilla spinifera,Pleraplysilla spinifera,Encrusting sponge,https://coralnet.ucsd.edu/label/7156/
Other Invertebrates,Encrusting sponge,,,Terpios gelatinosus,LC,11591,,,ES_Ter,Terpios gelatinosus,-,Encrusting sponge,https://coralnet.ucsd.edu/label/11591/
Other Invertebrates,Massive sponge,,,,LC,11592,,,MS,Massive sponge,-,Massive sponge,https://coralnet.ucsd.edu/label/11592/
Other Invertebrates,Massive sponge,,,,LC,11994,,,MS_DD,"Massive sponge, dead",-,Massive sponge,https://coralnet.ucsd.edu/label/11994/
Other Invertebrates,Massive sponge,Black massive sponge,,,LC,11593,,,MS_black,Black massive sponge,-,Massive sponge,https://coralnet.ucsd.edu/label/11593/
Other Invertebrates,Massive sponge,,,,LC,11995,,,MS_blackD,"Black massive sponge, dead",-,Massive sponge,https://coralnet.ucsd.edu/label/11995/
Other Invertebrates,Massive sponge,,,Chondrilla nucula,LCE,973,,,MS_Cho_nuc,Chondrilla nucula,Chondrilla nucula,Massive sponge,https://coralnet.ucsd.edu/label/973/
Other Invertebrates,Massive sponge,,,,LC,11996,,,MS_Cho_nD,"Chondrilla nucula, dead",-,Massive sponge,https://coralnet.ucsd.edu/label/11996/
Other Invertebrates,Massive sponge,,,Chondrosia reniformis,LCE,7307,,,MS_Cho_ren,Chondrosia reniformis,Chondrosia reniformis,Massive sponge,https://coralnet.ucsd.edu/label/7307/
Other Invertebrates,Massive sponge,,,,LC,11997,,,MS_Cho_rD,"Chondrosia reniformis, dead",-,Massive sponge,https://coralnet.ucsd.edu/label/11997/
Other Invertebrates,Massive sponge,,,Dysidea avara,LCE,1986,,,MS_Dys,Dysidea avara,Dysidea avara,Massive sponge,https://coralnet.ucsd.edu/label/1986/
Other Invertebrates,Massive sponge,,Erylus sp,,LC,11594,,,MS_Ery,Erylus sp.,-,Massive sponge,https://coralnet.ucsd.edu/label/11594/
Other Invertebrates,Massive sponge,,Erylus sp,Erylus euastrum,LC,11595,,,MS_Ery_eua,Erylus euastrum,-,Massive sponge,https://coralnet.ucsd.edu/label/11595/
Other Invertebrates,Massive sponge,,Geodia sp,,LCE,3020,,,MS_Geo,Geodia sp.,Geodia sp.,Massive sponge,https://coralnet.ucsd.edu/label/3020/
